market_constraint,match_source,candidate_constraint,accepted_match,confidence,final_score,model_probability,rule_score,rule_score_v1,rule_score_v2,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,best_score,second_best_score,score_margin,ambiguity_flag,low_score_flag,close_margin_flag
LINE 69 KV MONR AE-VINELAND 0711-1,pano,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE),True,high,0.94365,,0.94365,0.929545,0.94365,0.909091,1.0,1.0,1.0,0.941176,0.75,0.0,,0.94365,0.898178,0.04547199999999996,True,False,True
LINE 69 KV MONR AE-VINELAND 0711-1,dayzer,MONR AE_69 KV_MON-VINE:L69.Sherman-Vineland.0761,True,medium,0.758333,,0.758333,0.6,0.758333,0.833333,0.0,1.0,1.0,0.666667,0.333333,0.0,,0.758333,0.731538,0.026795000000000013,True,False,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,pano,GARDNERS-TEXSEAST GAR-TEX   A  115 KV,True,high,0.932773,,0.932773,0.915873,0.932773,0.888889,1.0,1.0,1.0,0.941176,0.714286,0.0,,0.932773,0.890159,0.04261399999999993,True,False,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,dayzer,GARDNERS_115 KV_GAR-TEX:ACTUAL,True,low,0.629487,,0.629487,0.501515,0.629487,0.666667,0.0,1.0,1.0,0.461538,0.181818,0.0,,0.629487,0.597143,0.03234400000000004,True,True,True
RAMAPO  138 KV  RAM-SMA,pano,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA),True,high,0.86553,,0.86553,0.847727,0.86553,0.75,1.0,1.0,1.0,0.833333,0.727273,0.0,,0.86553,0.548106,0.31742400000000004,False,False,False
RAMAPO  138 KV  RAM-SMA,dayzer,RAMAPO_138 KV_RAM-SMA:ACTUAL,True,medium,0.77381,,0.77381,0.603571,0.77381,0.857143,0.0,1.0,1.0,0.666667,0.25,0.0,,0.77381,0.7375,0.03630999999999995,True,False,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,pano,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),True,medium,0.733791,,0.733791,0.696154,0.733791,0.5,1.0,1.0,1.0,0.714286,0.461538,0.0,,0.733791,0.606456,0.12733499999999998,True,True,False
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],True,low,0.511364,,0.511364,0.42,0.511364,0.5,0.0,1.0,1.0,0.363636,0.2,0.0,,0.511364,0.511364,0.0,True,True,True
94 HAURD-11323 11323 B 138 KV,pano,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323),True,medium,0.743571,,0.743571,0.707143,0.743571,0.5,1.0,1.0,1.0,0.8,0.571429,0.0,,0.743571,0.693506,0.050065000000000026,True,True,False
94 HAURD-11323 11323 B 138 KV,dayzer,94 HAURD_138 KV_96101:ACTUAL,True,low,0.503571,,0.503571,0.4,0.503571,0.5,0.0,1.0,1.0,0.285714,0.0,0.0,,0.503571,0.503571,0.0,True,True,True
BERWICK 69 KV BERWICK-KOONSVIL,pano,BERWICK 69 KV   BER-KOO,True,low,0.604654,,0.604654,0.661905,0.604654,0.857143,0.0,1.0,1.0,0.545455,0.833333,0.0,,0.604654,0.604654,0.0,True,True,True
BERWICK 69 KV BERWICK-KOONSVIL,dayzer,KOONSVIL_69 KV_XFMR2:ACTUAL,False,low,0.385714,,0.385714,0.317857,0.385714,0.285714,0.0,1.0,1.0,0.5,0.25,0.0,,0.385714,0.385714,0.0,True,True,True
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,pano,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,True,medium,0.785294,,0.785294,0.733333,0.785294,0.666667,1.0,1.0,1.0,0.705882,0.0,0.0,,0.785294,0.708333,0.07696100000000006,False,False,False
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,dayzer,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,True,low,0.658333,,0.658333,0.503333,0.658333,0.666667,0.0,1.0,1.0,0.75,0.2,0.0,,0.658333,0.559167,0.09916599999999998,True,True,False
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,pano,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV,True,medium,0.762217,,0.762217,0.707692,0.762217,0.615385,1.0,1.0,1.0,0.705882,0.0,0.0,,0.762217,0.762217,0.0,True,False,True
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,dayzer,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,True,low,0.606667,,0.606667,0.45,0.606667,0.6,0.0,1.0,1.0,0.666667,0.0,0.0,,0.606667,0.566084,0.040582999999999925,True,True,True
ELIMA   138 KV  ELI-HAV1,pano,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),True,high,0.860357,,0.860357,0.835,0.860357,0.75,1.0,1.0,1.0,0.857143,0.6,0.0,,0.860357,0.753214,0.10714299999999999,False,False,False
ELIMA   138 KV  ELI-HAV1,dayzer,ELIMA_138 KV_ELI-HAV1:ACTUAL,True,medium,0.767143,,0.767143,0.578571,0.767143,0.857143,0.0,1.0,1.0,0.6,0.0,0.0,,0.767143,0.710227,0.05691599999999997,False,False,False
DOEX530 345 KV  203T,pano,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T),True,low,0.5,,0.5,0.533333,0.5,0.666667,0.0,1.0,1.0,0.5,0.5,0.0,,0.5,0.416667,0.08333299999999999,True,True,False
DOEX530 345 KV  203T,dayzer,DOEX530_345 KV_203T:ACTUAL,True,medium,0.77,,0.77,0.616667,0.77,0.8,0.0,1.0,1.0,1.0,0.666667,0.0,,0.77,0.476667,0.293333,False,False,False
DOEX530 345 KV  208T,pano,DOEX530 345 KV  208T,True,low,0.658333,,0.658333,0.7,0.658333,1.0,0.0,1.0,1.0,0.666667,0.5,0.0,,0.658333,0.5,0.15833299999999995,True,True,False
DOEX530 345 KV  208T,dayzer,DOEX530_345 KV_208T:ACTUAL,True,medium,0.77,,0.77,0.616667,0.77,0.8,0.0,1.0,1.0,1.0,0.666667,0.0,,0.77,0.476667,0.293333,False,False,False
BOONETWN230 KV  BOO-SRE,pano,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE),True,medium,0.738333,,0.738333,0.71,0.738333,0.5,1.0,1.0,1.0,0.666667,0.6,0.0,,0.738333,0.673042,0.06529099999999999,True,True,False
BOONETWN230 KV  BOO-SRE,dayzer,BOONETWN_230 KV_BOO-SRE:ACTUAL,True,low,0.565873,,0.565873,0.464286,0.565873,0.571429,0.0,1.0,1.0,0.444444,0.285714,0.0,,0.565873,0.565873,0.0,True,True,True
23 COLLI 345 KV 23 COLLINS 45TR92 CT,pano,23 COLLINS  45TR92 CT       H  345 KV,True,medium,0.766288,,0.766288,0.747727,0.766288,0.545455,1.0,1.0,1.0,0.666667,0.75,0.0,,0.766288,0.738866,0.027421999999999946,True,False,True
23 COLLI 345 KV 23 COLLINS 45TR92 CT,dayzer,23 COLLI_345 KV_TR92CT-S:L765.Collins - Plano.2315,True,low,0.63,,0.63,0.457692,0.63,0.615385,0.0,1.0,1.0,0.8,0.0,0.0,,0.63,0.550699,0.07930099999999995,True,True,False
ALLENIM 345 KV  ALL-RPM,pano,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),True,high,0.86369,,0.86369,0.841667,0.86369,0.75,1.0,1.0,1.0,0.857143,0.666667,0.0,,0.86369,0.86369,0.0,True,False,True
ALLENIM 345 KV  ALL-RPM,dayzer,ALLENIM_345 KV_ALL-RPM:Perry.U1,True,low,0.692045,,0.692045,0.55,0.692045,0.75,0.0,1.0,1.0,0.545455,0.25,0.0,,0.692045,0.683333,0.008712000000000053,True,True,True
94 HAURD138 KV 96101,pano,94 HAURD138 KV  18623,True,low,0.645,,0.645,0.69,0.645,1.0,0.0,1.0,1.0,0.5,0.4,0.0,,0.645,0.639286,0.005713999999999997,True,True,True
94 HAURD138 KV 96101,dayzer,6102_138 KV_6102 4:ACTUAL,False,low,0.216667,,0.216667,0.2,0.216667,0.0,0.0,1.0,1.0,0.666667,0.5,0.0,,0.216667,0.2,0.016666999999999987,True,True,True
PRESTON-TANYARD 6716-5 B 69 KV,pano,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),True,high,0.937821,,0.937821,0.927778,0.937821,0.888889,1.0,1.0,1.0,0.923077,0.833333,0.0,,0.937821,0.831667,0.10615399999999997,False,False,False
PRESTON-TANYARD 6716-5 B 69 KV,dayzer,PRESTON_69 KV_PRE-TAN:ACTUAL,True,low,0.6975,,0.6975,0.547222,0.6975,0.75,0.0,1.0,1.0,0.6,0.222222,0.0,,0.6975,0.674242,0.023258,True,True,True
TMI 500 KV TMI 1 BANK XFORMER,pano,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK),True,medium,0.778938,,0.778938,0.752381,0.778938,0.571429,1.0,1.0,1.0,0.769231,0.666667,0.0,,0.778938,0.748095,0.030843000000000065,True,False,True
TMI 500 KV TMI 1 BANK XFORMER,dayzer,TMI_500 KV_1 BANK:500/230.Conastone.500-4,True,low,0.65,,0.65,0.511905,0.65,0.666667,0.0,1.0,1.0,0.666667,0.285714,0.0,,0.65,0.627778,0.022222000000000075,True,True,True
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,pano,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,True,high,0.95,,0.95,0.9,0.95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.95,0.914035,0.035964999999999914,True,False,True
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,dayzer,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,False,low,0.446382,,0.446382,0.3375,0.446382,0.375,0.0,1.0,1.0,0.526316,0.0,0.0,,0.446382,0.382773,0.06360900000000003,True,True,False
LORETTO 138 KV LORETTO-VIENNA 13780,pano,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE),True,high,0.937821,,0.937821,0.927778,0.937821,0.888889,1.0,1.0,1.0,0.923077,0.833333,0.0,,0.937821,0.800595,0.13722600000000007,False,False,False
LORETTO 138 KV LORETTO-VIENNA 13780,dayzer,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,True,medium,0.800505,,0.800505,0.619444,0.800505,0.888889,0.0,1.0,1.0,0.727273,0.25,0.0,,0.800505,0.6975,0.10300500000000001,False,False,False
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,pano,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,True,high,0.95,,0.95,0.9,0.95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.95,0.880159,0.06984099999999993,False,False,False
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,dayzer,DUNEACRE_138 KV_DUN-MIC1:Dumont-Wilton Center 765kV,True,low,0.571429,,0.571429,0.435714,0.571429,0.571429,0.0,1.0,1.0,0.5,0.0,0.0,,0.571429,0.571429,0.0,True,True,True
COOLSPRI230 KV  COL-MIL,pano,COOLSPRI-MILFORD  COL-MIL   A  230 KV,True,medium,0.785173,,0.785173,0.758442,0.785173,0.571429,1.0,1.0,1.0,0.833333,0.727273,0.0,,0.785173,0.749825,0.035348000000000046,True,False,True
COOLSPRI230 KV  COL-MIL,dayzer,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,True,low,0.522222,,0.522222,0.400794,0.522222,0.444444,0.0,1.0,1.0,0.833333,0.285714,0.0,,0.522222,0.429221,0.09300099999999994,True,True,False
945 CRET 345 KV CRETEIPP-STJOHNS,pano,Crete-StJohns 345 kV l/o Dumont-Wilton Ctr 765 kV,True,high,0.864486,,0.864486,0.840794,0.864486,0.857143,0.888889,1.0,1.0,0.842105,0.4,0.0,,0.864486,0.66547,0.19901599999999997,False,False,False
945 CRET 345 KV CRETEIPP-STJOHNS,dayzer,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,True,low,0.517857,,0.517857,0.4,0.517857,0.5,0.0,1.0,1.0,0.428571,0.0,0.0,,0.517857,0.516667,0.0011900000000000244,True,True,True
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,pano,4 QUAD C345 KV  0403,False,low,0.458658,,0.458658,0.502381,0.458658,0.571429,0.0,1.0,1.0,0.363636,0.666667,0.0,,0.458658,0.458658,0.0,True,True,True
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,dayzer,4 QUAD C_345 KV_TR1 18:ACTUAL,True,low,0.541667,,0.541667,0.466667,0.541667,0.5,0.0,1.0,1.0,0.666667,0.666667,0.0,,0.541667,0.385714,0.155953,True,True,False
PLEASNTV-ASHBURN 274D A 230 KV,pano,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D),True,high,0.915201,,0.915201,0.895238,0.915201,0.857143,1.0,1.0,1.0,0.923077,0.666667,0.0,,0.915201,0.804762,0.11043900000000006,False,False,False
PLEASNTV-ASHBURN 274D A 230 KV,dayzer,PLEASNTV_230 KV_274D:L230.GooseCreek-Ashburn-Beaumeade.227,True,low,0.683333,,0.683333,0.483333,0.683333,0.666667,0.0,1.0,1.0,1.0,0.0,0.0,,0.683333,0.627778,0.05555500000000002,True,True,False
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,pano,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB),False,low,0.482051,,0.482051,0.430769,0.482051,0.0,1.0,1.0,1.0,0.333333,0.307692,0.0,,0.482051,0.264835,0.21721600000000002,True,True,False
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,dayzer,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,False,low,0.316364,,0.316364,0.27,0.316364,0.2,0.0,1.0,1.0,0.363636,0.2,0.0,,0.316364,0.298182,0.018181999999999976,True,True,True
CONASTON 230 KV CONASTON-NORTHWES 2322,pano,CONASTON230 KV  CNS-NOR2,True,medium,0.788184,,0.788184,0.769444,0.788184,0.75,0.8,1.0,1.0,0.769231,0.444444,0.0,,0.788184,0.7875,0.0006840000000000179,True,False,True
CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,True,low,0.65,,0.65,0.483333,0.65,0.666667,0.0,1.0,1.0,0.666667,0.0,0.0,,0.65,0.633333,0.016666999999999987,True,True,True
74 KEWAN B1Z1 DIS              138 KV,pano,74 KEWAN B1Z5 DIS              138 KV,True,medium,0.829167,,0.829167,0.808333,0.829167,0.666667,1.0,1.0,1.0,0.833333,0.75,0.0,,0.829167,0.631563,0.197604,False,False,False
74 KEWAN B1Z1 DIS              138 KV,dayzer,74 KEWAN_138 KV_L9430:ACTUAL,False,low,0.388889,,0.388889,0.316667,0.388889,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.375714,0.013174999999999992,True,True,True
4 QUAD C345 KV  TR2 18,pano,4 QUAD C345 KV  0403,True,low,0.572222,,0.572222,0.63,0.572222,0.8,0.0,1.0,1.0,0.444444,0.8,0.0,,0.572222,0.572222,0.0,True,True,True
4 QUAD C345 KV  TR2 18,dayzer,4 QUAD C_345 KV_TR2 18:ACTUAL,True,low,0.669048,,0.669048,0.563333,0.669048,0.666667,0.0,1.0,1.0,0.857143,0.8,0.0,,0.669048,0.476667,0.19238099999999997,True,True,False
FACEROCK69 KV   FAROZBR,pano,FACEROCK69 KV   FAROZBR,True,high,0.983333,,0.983333,0.966667,0.983333,1.0,1.0,1.0,1.0,1.0,0.666667,0.0,,0.983333,0.931169,0.05216399999999999,False,False,False
FACEROCK69 KV   FAROZBR,dayzer,FACEROCK_69 KV_FAROZBR:500/230.Conastone.500-4,False,low,0.46,,0.46,0.35,0.46,0.4,0.0,1.0,1.0,0.5,0.0,0.0,,0.46,0.46,0.0,True,True,True
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,pano,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),True,high,0.858929,,0.858929,0.832143,0.858929,0.75,1.0,1.0,1.0,0.857143,0.571429,0.0,,0.858929,0.759697,0.0992320000000001,False,False,False
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,dayzer,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,True,low,0.522222,,0.522222,0.372222,0.522222,0.444444,0.0,1.0,1.0,0.833333,0.0,0.0,,0.522222,0.505556,0.01666599999999996,True,True,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,pano,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),True,high,0.894524,,0.894524,0.883333,0.894524,0.8,1.0,1.0,1.0,0.857143,0.833333,0.0,,0.894524,0.831667,0.06285699999999994,False,False,False
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,dayzer,GARDNERS_115 KV_GAR-TEX:ACTUAL,True,low,0.637879,,0.637879,0.505556,0.637879,0.666667,0.0,1.0,1.0,0.545455,0.222222,0.0,,0.637879,0.623333,0.014545999999999948,True,True,True
BENTONHA138 KV  BEN-WES1,pano,BENTONHA138 KV  BEN-RIV2,True,low,0.503571,,0.503571,0.540476,0.503571,0.666667,0.0,1.0,1.0,0.5,0.571429,0.0,,0.503571,0.5,0.003570999999999991,True,True,True
BENTONHA138 KV  BEN-WES1,dayzer,BENTONHA_138 KV_BEN-WES1:ACTUAL,True,low,0.596429,,0.596429,0.475714,0.596429,0.571429,0.0,1.0,1.0,0.75,0.4,0.0,,0.596429,0.478889,0.11753999999999998,True,True,False
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,pano,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,True,medium,0.705,,0.705,0.65,0.705,0.5,1.0,1.0,1.0,0.6,0.0,0.0,,0.705,0.619173,0.08582699999999999,True,True,False
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,dayzer,177 BURN_345 KV_BUR-SHE1:345L17703 Burnham-Munster 345 kV Tie Line,True,low,0.619444,,0.619444,0.4,0.619444,0.5,0.0,1.0,1.0,0.444444,0.0,1.0,,0.619444,0.583929,0.03551499999999996,True,True,True
CONASTON 230 KV CONASTON-NORTHWES 2322,pano,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR2),True,medium,0.7875,,0.7875,0.76,0.7875,0.6,1.0,1.0,1.0,0.75,0.6,0.0,,0.7875,0.7875,0.0,True,False,True
CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,True,low,0.633333,,0.633333,0.483333,0.633333,0.666667,0.0,1.0,1.0,0.5,0.0,0.0,,0.633333,0.633333,0.0,True,True,True
GRACETON_230KVGRA-MANO_1_LN,pano,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),True,low,0.533333,,0.533333,0.472222,0.533333,0.444444,1.0,0.0,0.0,0.666667,0.0,0.0,,0.533333,0.483333,0.04999999999999993,True,True,True
GRACETON_230KVGRA-MANO_1_LN,dayzer,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,False,low,0.379545,,0.379545,0.25,0.379545,0.5,0.0,0.0,0.0,0.545455,0.0,0.0,,0.379545,0.379545,0.0,True,True,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,pano,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),True,medium,0.741071,,0.741071,0.707143,0.741071,0.5,1.0,1.0,1.0,0.75,0.571429,0.0,,0.741071,0.615179,0.125892,True,True,False
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,ETOWANDA_230 KV_3 TX:L230.ETowanda-Hillside.2002 [NYISO],True,low,0.525,,0.525,0.42,0.525,0.5,0.0,1.0,1.0,0.5,0.2,0.0,,0.525,0.525,0.0,True,True,True
CEDARCRE230 KV  CED-SIL,pano,CEDARCRE230 KV  CED-RED,True,medium,0.813889,,0.813889,0.777778,0.813889,0.666667,1.0,1.0,1.0,0.833333,0.444444,0.0,,0.813889,0.759697,0.05419200000000002,False,False,False
CEDARCRE230 KV  CED-SIL,dayzer,CEDARCRE_230 KV_CED-SIL:ACTUAL,True,low,0.561429,,0.561429,0.460714,0.561429,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.522222,0.03920699999999999,True,True,True
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,pano,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1),True,low,0.630886,,0.630886,0.671212,0.630886,0.909091,0.0,1.0,1.0,0.769231,0.666667,0.0,,0.630886,0.429643,0.20124299999999995,True,True,False
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,dayzer,LINVFT_230 KV_LIN-VFT1:ACTUAL,True,low,0.663333,,0.663333,0.516667,0.663333,0.666667,0.0,1.0,1.0,0.8,0.333333,0.0,,0.663333,0.521154,0.14217899999999994,True,True,False
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,pano,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,True,low,0.6375,,0.6375,0.583333,0.6375,0.666667,1.0,0.0,0.0,0.75,0.0,0.0,,0.6375,0.6375,0.0,True,True,True
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,dayzer,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,True,low,0.506061,,0.506061,0.333333,0.506061,0.666667,0.0,0.0,0.0,0.727273,0.0,0.0,,0.506061,0.456667,0.04939399999999999,True,True,True
FREMNT  138 KV  FRE-WFR1,pano,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),True,low,0.548106,,0.548106,0.591667,0.548106,0.75,0.0,1.0,1.0,0.545455,0.666667,0.0,,0.548106,0.5475,0.0006059999999999954,True,True,True
FREMNT  138 KV  FRE-WFR1,dayzer,FREMNT_138 KV_FRE-WFR1:ACTUAL,True,medium,0.807143,,0.807143,0.611905,0.807143,0.857143,0.0,1.0,1.0,1.0,0.333333,0.0,,0.807143,0.704167,0.10297600000000007,False,False,False
PA-CENT CONTINGENCY 1,pano,TRANSFER INTERFACE: PA-CENT,True,low,0.615604,,0.615604,0.575714,0.615604,0.571429,1.0,0.0,0.0,0.769231,0.4,0.0,,0.615604,0.608333,0.0072710000000000274,True,True,True
PA-CENT CONTINGENCY 1,dayzer,TRANSFER INTERFACE: PA-CENT:L500.ALBURTIS-JUNIATA.5009,False,low,0.321538,,0.321538,0.25,0.321538,0.4,0.0,0.0,0.0,0.615385,0.5,0.0,,0.321538,0.306154,0.015384000000000009,True,True,True
