market_constraint,candidate_constraint,candidate_source,original_weighted_score,match_probability,refined_confidence_label,facility_score,contingency_score,voltage_match,zone_or_token_overlap,ambiguity_flag,manual_label
94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_96101:ACTUAL,dayzer,0.503571,0.2725354461065753,reject,0.5,0.0,1.0,0.285714,True,
94 HAURD-11323 11323 B 138 KV,7713    138 KV  7713 1,pano,0.504167,0.615443583247821,uncertain,0.0,1.0,1.0,0.75,True,
BERWICK 69 KV BERWICK-KOONSVIL,BERGEN_138 KV_BER-FAIM:345/138.Bergen.345-1,dayzer,0.210714,0.2557494743339928,reject,0.285714,0.0,0.0,0.25,True,
BERWICK 69 KV BERWICK-KOONSVIL,BERWICK-KOONSVIL            A  69 KV,pano,0.502273,0.11903273762800566,reject,0.666667,0.0,1.0,0.545455,True,
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,MT VRNO3_345 KV_TX00:Prairie State - Stallings 345 kV,dayzer,0.342857,0.5966634699832062,uncertain,0.461538,0.0,0.0,0.428571,True,
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,pano,0.785294,0.7855114342392298,medium_high,0.666667,1.0,1.0,0.705882,False,
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,CHAMP T3_138 KV_1592 2:Dumont-Wilton Center 765kV,dayzer,0.517857,0.3925892222990692,reject,0.5,0.0,1.0,0.428571,True,
CHICAGO-PRAXAIR3 138 KV L/O WILTON CENTER-DUMONT 765 KV,Michigan City-Bosserman 138 kV l/o Dumont -Wilton Center 765 kV,pano,0.762217,0.6328106557094811,uncertain,0.615385,1.0,1.0,0.705882,True,
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,dayzer,0.767143,0.6542314478212191,uncertain,0.857143,0.0,1.0,0.6,False,
ELIMA   138 KV  ELI-HAV1,MADDOXCR 345KV - ELIMA 345KV (MADDOXCR 345 KV ELI-MAD),pano,0.587987,0.8631422727966146,medium_high,0.5,1.0,0.0,0.714286,False,
DOEX530 345 KV  203T,DOEX530_345 KV_203T:ACTUAL,dayzer,0.77,0.981775198478214,high,0.8,0.0,1.0,1.0,False,
DOEX530 345 KV  203T,DOEX530 345KV - MARQUIS2 345KV (MARQUIS2 345 KV MAR-DOE2),pano,0.309683,0.1763611226369521,reject,0.285714,0.0,1.0,0.4,True,
DOEX530 345 KV  208T,DOEX530_345 KV_208T:ACTUAL,dayzer,0.77,0.981775198478214,high,0.8,0.0,1.0,1.0,False,
DOEX530 345 KV  208T,DOEX530 345 KV  208T,pano,0.658333,0.5506378583496635,uncertain,1.0,0.0,1.0,0.666667,True,
BOONETWN230 KV  BOO-SRE,BOONSBOR_138 KV_BOO-MAR:L500.Bedington-Doubs,dayzer,0.162626,0.26410848289655947,reject,0.222222,0.0,0.0,0.181818,True,
BOONETWN230 KV  BOO-SRE,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK),pano,0.330682,0.7450687847104878,uncertain,0.0,1.0,0.0,0.363636,True,
23 COLLI 345 KV 23 COLLINS 45TR92 CT,23 COLLI_345 KV_TR92CT-S:ACTUAL,dayzer,0.550699,0.544904051112796,uncertain,0.545455,0.0,1.0,0.461538,True,
23 COLLI 345 KV 23 COLLINS 45TR92 CT,23 COLLI 1KV - 23 COLLI 765KV (23 COLLI 765 KV TR92CT-P),pano,0.507983,0.7812909714210218,medium_high,0.333333,1.0,0.0,0.588235,True,
ALLENIM 345 KV  ALL-RPM,ALLENIM_138 KV_ALL-ROBI:345/138.RobisonPark.T5,dayzer,0.361364,0.27396721667662804,reject,0.5,0.0,0.0,0.363636,True,
ALLENIM 345 KV  ALL-RPM,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG),pano,0.585714,0.6346987221808207,uncertain,0.5,1.0,0.0,0.714286,True,
94 HAURD138 KV 96101,51 MC CO_138 KV_5105:ACTUAL,dayzer,0.19,0.08647373063927671,reject,0.0,0.0,1.0,0.4,True,
94 HAURD138 KV 96101,94 HAURD138 KV  18623,pano,0.631111,0.11401776345268212,reject,1.0,0.0,1.0,0.4,True,
PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TOD:ACTUAL,dayzer,0.515,0.33261297328846523,reject,0.5,0.0,1.0,0.4,True,
PRESTON-TANYARD 6716-5 B 69 KV,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),pano,0.937821,0.9364185564894559,high,0.888889,1.0,1.0,0.923077,False,
TMI 500 KV TMI 1 BANK XFORMER,TMI_500 KV_1 BANK:BrunnerIsland.U3,dayzer,0.561429,0.31557663185775126,reject,0.571429,0.0,1.0,0.4,True,
TMI 500 KV TMI 1 BANK XFORMER,TMI 500KV - TMI 230KV (TMI 500 KV 1 BANK),pano,0.778938,0.7327392226580519,uncertain,0.571429,1.0,1.0,0.769231,True,
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,LAFAYSOU_138 KV_LAF-SHA:Westwood-LafayetteCat 138 kV,dayzer,0.271667,0.22745503706805092,reject,0.166667,0.0,1.0,0.133333,True,
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,pano,0.95,0.8630639988119385,medium_high,1.0,1.0,1.0,1.0,True,
LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,dayzer,0.800505,0.7732050386743021,medium_high,0.888889,0.0,1.0,0.727273,False,
LORETTO 138 KV LORETTO-VIENNA 13780,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE),pano,0.937821,0.9607910509411989,high,0.888889,1.0,1.0,0.923077,False,
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,WEEDMAN3_138 KV_1592 4:Dumont-Wilton Center 765kV,dayzer,0.517857,0.24947970394457586,reject,0.5,0.0,1.0,0.428571,True,
DUNEACRE - MICHIGAN CITY 13839 138 KV L/O WILTON CENTER - DUMONT 765 KV,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,pano,0.95,0.8732729465223383,medium_high,1.0,1.0,1.0,1.0,False,
COOLSPRI230 KV  COL-MIL,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,dayzer,0.522222,0.4988786565294495,reject,0.444444,0.0,1.0,0.833333,True,
COOLSPRI230 KV  COL-MIL,COOLSPRI-MILFORD  COL-MIL   A  230 KV,pano,0.785173,0.7333466726255864,uncertain,0.571429,1.0,1.0,0.833333,True,
945 CRET 345 KV CRETEIPP-STJOHNS,STILLWEL_345 KV_. 1:Wilton Ctr - Dumont 765 kV,dayzer,0.517857,0.25314830667616756,reject,0.5,0.0,1.0,0.428571,True,
945 CRET 345 KV CRETEIPP-STJOHNS,Marktown-Inland Steel 5 138 kV l/o Wilton Center-Dumont 765 kV,pano,0.507778,0.9735870833269509,high,0.4,1.0,0.0,0.555556,False,
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,4 QUAD C_345 KV_TR1 18:ACTUAL,dayzer,0.541667,0.7459085227126127,uncertain,0.5,0.0,1.0,0.666667,True,
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18,Rising  45TR1,pano,0.287662,0.06796405422507584,reject,0.285714,0.0,1.0,0.181818,True,
PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV_230 KV_274D:L500.FrontRoyal-Morrisville.541,dayzer,0.511364,0.4658623134556463,reject,0.5,0.0,1.0,0.363636,True,
PLEASNTV-ASHBURN 274D A 230 KV,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D),pano,0.915201,0.9419917217052788,high,0.857143,1.0,1.0,0.923077,False,
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,KRENDALE_138 KV_KRE-SEN:L500.Keystone-SouthBend.5001(513),dayzer,0.15,0.13110835996593811,reject,0.0,0.0,1.0,0.0,True,
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB),pano,0.482051,0.9109518963489341,high,0.0,1.0,1.0,0.333333,True,
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:L500.Cabot-Keystone.5002,dayzer,0.547403,0.3060721716444974,reject,0.545455,0.0,1.0,0.428571,True,
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON-NORTHWES 2322      A   230 KV,pano,0.775604,0.6260121265636215,uncertain,0.571429,1.0,1.0,0.769231,True,
74 KEWAN B1Z1 DIS              138 KV,74 KEWAN_138 KV_BTIE Z1:L345.Nelson-ElectricJunction.15502,dayzer,0.311111,0.11253737161794194,reject,0.222222,0.0,1.0,0.166667,True,
74 KEWAN B1Z1 DIS              138 KV,74 KEWAN B1Z5 DIS              138 KV,pano,0.829167,0.9580038594791853,high,0.666667,1.0,1.0,0.833333,False,
4 QUAD C345 KV  TR2 18,4 QUAD C_345 KV_TR2 18:ACTUAL,dayzer,0.669048,0.8197344109869046,medium_high,0.666667,0.0,1.0,0.857143,True,
4 QUAD C345 KV  TR2 18,4 QUAD C345 KV  ATR81 13,pano,0.508333,0.10281221714796358,reject,0.666667,0.0,1.0,0.666667,True,
FACEROCK69 KV   FAROZBR,GLADYSDP_69 KV_35A:ACTUAL,dayzer,0.15,0.10073321255152853,reject,0.0,0.0,1.0,0.0,True,
FACEROCK69 KV   FAROZBR,FACEROCK69 KV   FAROZBR,pano,0.983333,0.8366101291413213,medium_high,1.0,1.0,1.0,1.0,False,
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CARSON4_500 KV_563A:ACTUAL,dayzer,0.205714,0.3201133483968156,reject,0.285714,0.0,0.0,0.2,True,
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),pano,0.858929,0.8059878129255883,medium_high,0.75,1.0,1.0,0.857143,False,
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,GARDNERS_115 KV_GAR-TEX:L115.MiddletownJct-Collins.975 (Sctnlz),dayzer,0.517857,0.2829909358445106,reject,0.5,0.0,1.0,0.428571,True,
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),pano,0.894524,0.6867346225662664,uncertain,0.8,1.0,1.0,0.857143,False,
BENTONHA138 KV  BEN-WES1,BENTONHA_138 KV_BEN-WES1:ACTUAL,dayzer,0.596429,0.6139959328926121,uncertain,0.571429,0.0,1.0,0.75,True,
BENTONHA138 KV  BEN-WES1,BENTONHA138 KV  BEN-RIV2,pano,0.503571,0.12148793406179366,reject,0.666667,0.0,1.0,0.571429,True,
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,66 E FRN_345 KV_6607:345L17703 Burnham-Munster 345 kV Tie Line,dayzer,0.545294,0.4158351449556875,reject,0.4,0.0,1.0,0.352941,True,
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV,pano,0.540336,0.8951104071597967,medium_high,0.470588,1.0,0.0,0.571429,True,
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,dayzer,0.633333,0.24500581924412537,reject,0.666667,0.0,1.0,0.5,True,
CONASTON 230 KV CONASTON-NORTHWES 2322,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR2),pano,0.7875,0.6229033257693838,uncertain,0.6,1.0,1.0,0.75,True,
GRACETON_230KVGRA-MANO_1_LN,GRACETON_230 KV_230-1:230/115.NorthEast.230-2,dayzer,0.238889,0.2621726075226903,reject,0.333333,0.0,0.0,0.222222,True,
GRACETON_230KVGRA-MANO_1_LN,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),pano,0.533333,0.813674259404748,medium_high,0.444444,1.0,0.0,0.666667,True,
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA 115-ETOWANDA 230,dayzer,0.35,0.2532376364144564,reject,0.5,0.0,0.0,0.25,True,
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,ETOWANDA 230KV - SCOTCHHO 230KV (ETOWANDA 230 KV ETO-SCO),pano,0.615179,0.8384025563604763,medium_high,0.25,1.0,1.0,0.625,True,
CEDARCRE230 KV  CED-SIL,CEDARCRE_230 KV_CED-SIL:ACTUAL,dayzer,0.561429,0.3807515731939355,reject,0.571429,0.0,1.0,0.4,True,
CEDARCRE230 KV  CED-SIL,CEDARCRE230 KV  CED-RED,pano,0.813889,0.6858641485217003,uncertain,0.666667,1.0,1.0,0.833333,False,
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,LINDEN_230 KV_LIN-MINR:TOSCO-VFT_ST S-2271 230 LINE,dayzer,0.521154,0.768631484324131,medium_high,0.5,0.0,1.0,0.461538,True,
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1),pano,0.630886,0.7038729254419264,uncertain,0.909091,0.0,1.0,0.769231,True,
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,dayzer,0.506061,0.68190495218711,uncertain,0.666667,0.0,0.0,0.727273,True,
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV,pano,0.612217,0.6163270948300017,uncertain,0.615385,1.0,0.0,0.705882,True,
FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:ACTUAL,dayzer,0.807143,0.7248579923886447,uncertain,0.857143,0.0,1.0,1.0,False,
FREMNT  138 KV  FRE-WFR1,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),pano,0.5475,0.10836541315123016,reject,0.75,0.0,1.0,0.6,True,
PA-CENT CONTINGENCY 1,WEST contingency 30 Keystone.U2,dayzer,0.205714,0.3155590886009568,reject,0.285714,0.0,0.0,0.2,True,
PA-CENT CONTINGENCY 1,TRANSFER INTERFACE: PA-CENT,pano,0.615604,0.6352888358040552,uncertain,0.571429,1.0,0.0,0.769231,True,
74 KEWAN B1Z1 DIS             138 KV,74 KEWAN_138 KV_BTIE Z1:L345.Nelson-ElectricJunction.15502,dayzer,0.311111,0.11253737161794194,reject,0.222222,0.0,1.0,0.166667,True,
74 KEWAN B1Z1 DIS             138 KV,74 KEWAN B1Z5 DIS              138 KV,pano,0.829167,0.9580038594791853,high,0.666667,1.0,1.0,0.833333,False,
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,CHARLTSV_230 KV_2054B1:L230.Gordonsville-Louisa CT.2088 (Sctnlz),dayzer,0.122619,0.26815073121370747,reject,0.166667,0.0,0.0,0.142857,True,
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,SB 85 56 161KV - ROCK IS 161KV (ROCK IS 161 KV LN  4447),pano,0.335,0.47259511030760254,reject,0.0,1.0,0.0,0.5,True,
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,FARGO_XF_3_FLO_POWERTON_UN_5:POWERTON U5,dayzer,0.267133,0.814214978981384,medium_high,0.363636,0.0,0.0,0.307692,True,
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL),pano,0.479762,0.21017969560248462,reject,0.0,1.0,1.0,0.428571,True,
12 DRESDEN 45TR81 CT H 345 KV,77 MAZON_138 KV_0108 2:345/138.12 Dresden.TR83,dayzer,0.205714,0.26379790066331005,reject,0.285714,0.0,0.0,0.2,True,
12 DRESDEN 45TR81 CT H 345 KV,12 DRESDEN  45TR81 CT       H  345 KV,pano,0.758929,0.6292709266899535,uncertain,1.0,0.285714,1.0,0.75,False,
KINGSTON69 KV   KST-WOR,KINGSTON_69 KV_KST-WOR:ACTUAL,dayzer,0.596429,0.8749135303961791,medium_high,0.571429,0.0,1.0,0.75,True,
KINGSTON69 KV   KST-WOR,MCCARTER230 KV  MCC-WOR,pano,0.184722,0.4212408337798868,reject,0.333333,0.0,0.0,0.444444,True,
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,LAFAYSOU_138 KV_LAF-SHA:Westwood-LafayetteCat 138 kV,dayzer,0.122619,0.26815073121370747,reject,0.166667,0.0,0.0,0.142857,True,
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,Tippecan-Lafaysouth 138 l/o Westwood-08NW_Tap-WLafyett 138 kV,pano,0.524107,0.7838204010594887,medium_high,0.428571,1.0,0.0,0.625,True,
WHITESTN 115 KV WHITESTN-HARMONYV 65A,HARMONYV_230 KV_TX2:L230.Fredericksburg-Birchwood.2083,dayzer,0.211111,0.3312784632227334,reject,0.222222,0.0,0.0,0.666667,True,
WHITESTN 115 KV WHITESTN-HARMONYV 65A,WHITESTN-HARMONYV 65A       B  115 KV,pano,0.915201,0.939482777113894,high,0.857143,1.0,1.0,0.923077,False,
JUNIATA 2 XFORMER H 500 KV,JUNIATA_500 KV_JUN-KEY:L500.Conemaugh-Juniata.5005,dayzer,0.334722,0.14488103036536554,reject,0.25,0.0,1.0,0.222222,True,
JUNIATA 2 XFORMER H 500 KV,JUNIATA 230KV - JUNIATA 69KV (JUNIATA 230 KV 4),pano,0.515,0.8749512044550882,medium_high,0.333333,1.0,0.0,0.8,False,
GARRETAP-GARRETT B 115 KV,GARRETAP_115 KV_GAR-GAR:500/230.Keystone.T4,dayzer,0.519444,0.4271362585392427,reject,0.5,0.0,1.0,0.444444,True,
GARRETAP-GARRETT B 115 KV,GARRETT 115 KV  GAR-GAR,pano,0.505,0.11295973987682559,reject,0.666667,0.0,1.0,0.6,True,
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:230/115.NorthMeshoppen.T3,dayzer,0.511364,0.40020198633205434,reject,0.5,0.0,1.0,0.363636,True,
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME2),pano,0.503929,0.9557845353545278,high,0.25,0.666667,1.0,0.428571,True,
GRACETON230 KV  GRA-MANO,GRACETON_230 KV_GRA-MANO:Hunterstown.SVC,dayzer,0.511364,0.24719204502769382,reject,0.5,0.0,1.0,0.363636,True,
GRACETON230 KV  GRA-MANO,GRACETON230 KV  GRA-SAF,pano,0.765604,0.6665840630205944,uncertain,0.666667,0.857143,1.0,0.769231,True,
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGH_230 KV_2-3:L500.Conemaugh-Juniata.5005,dayzer,0.314444,0.32458491483304874,reject,0.222222,0.0,1.0,0.2,True,
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,FACEROCK FAROZBR  SER DEV   A  69 KV,pano,0.554545,0.6859464104135965,uncertain,0.444444,1.0,0.0,0.545455,True,
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:Hunterstown Combined Cycle unit (500 kV),dayzer,0.521154,0.2956898802253384,reject,0.5,0.0,1.0,0.461538,True,
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON500 KV  CNS-PEA,pano,0.533523,0.11004171706414681,reject,0.75,0.0,1.0,0.545455,True,
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO_230 KV_CED-CLIB:L500.Hopatcong-Ramapo.5018,dayzer,0.510294,0.5037083251758713,uncertain,0.5,0.0,1.0,0.352941,True,
CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB),pano,0.907955,0.9530009240250563,high,0.833333,1.0,1.0,0.909091,False,
BRIGHTON 6AB           CB      500 KV,VALLEY4_500 KV_549A:___MEADOWBR TRAN 2 & TRAN 4 & MDL 5 cb (APS),dayzer,0.298182,0.09125534978864264,reject,0.2,0.0,1.0,0.181818,True,
BRIGHTON 6AB           CB      500 KV,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR),pano,0.615833,0.7753050024409663,medium_high,0.25,1.0,1.0,0.666667,True,
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,MT VRNO3_345 KV_TX00:Prairie State - Stallings 345 kV,dayzer,0.318571,0.2294260960411458,reject,0.428571,0.0,0.0,0.4,True,
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,Commodore 345/230 XF2 l/o Prairie State-Mt Vernon 345kV,pano,0.614583,0.7905952522172024,medium_high,0.625,1.0,0.0,0.666667,False,
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,RITCHIE_230 KV_OAK-RIT8:L230.Oak Grove-Ritchie.23060,dayzer,0.3,0.32687195122725843,reject,0.4,0.0,0.0,0.4,True,
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,SANDBRG 161KV - SANDBRG 138KV (SANDBRG 161 KV TR3),pano,0.339286,0.7439805306773359,uncertain,0.0,1.0,0.0,0.5,True,
BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,dayzer,0.552198,0.43665757897872004,reject,0.571429,0.0,1.0,0.307692,True,
BIGPINET138 KV  BIG-KIS,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR),pano,0.615682,0.37811264023645846,reject,0.25,1.0,1.0,0.7,True,
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:Keystone-Juniata 500kV,dayzer,0.547403,0.2936414906761274,reject,0.545455,0.0,1.0,0.428571,True,
CONASTON-PEACHBOT 5012 A 500 KV,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT),pano,0.534327,0.8814471541695215,medium_high,0.4,1.0,0.0,0.625,False,
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:ACTUAL,dayzer,0.561429,0.3965788652591898,reject,0.571429,0.0,1.0,0.4,True,
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1),pano,0.86369,0.8253027989631349,medium_high,0.75,1.0,1.0,0.857143,False,
